,2017 Pop,2017 Unmarried Women,High School Graduate,Unemployment,Percent Under the Poverty lavel,Mean Income,Sex Ratio,Mean Age,zip code tabulation area
189,11211,38.8,32.1,3.6,9.5,86111,97.6,45.1,01030
190,2313,0.0,36.8,4.7,8.1,94806,97.5,46.9,01034
191,5301,0.0,26.8,1.2,5.4,92788,75.7,47.4,01035
192,1658,100.0,25.8,3.6,22.0,83369,113.4,53.2,01053
193,8801,1.6,33.8,6.6,5.7,88287,95.9,46.3,01057
194,10637,24.6,42.7,7.8,13.5,65600,97.4,41.8,01082
195,41652,23.0,30.8,6.4,8.4,77265,96.2,39.1,01085
196,399,-666666666.0,32.3,7.4,8.0,58218,118.0,53.3,01088
197,23635,70.6,36.2,11.6,29.1,48786,85.3,36.0,01104
198,16048,0.8,12.0,4.6,3.8,150366,88.2,46.2,01106
199,6839,-666666666.0,27.5,6.5,10.1,78270,98.0,48.9,01226
200,859,0.0,30.2,5.1,4.1,93702,116.4,50.2,01255
201,357,0.0,23.1,0.0,7.8,85610,133.3,61.7,01258
202,17715,40.1,28.9,5.2,13.0,65614,98.7,44.1,01301
203,1472,42.9,33.5,7.5,11.5,70366,92.4,50.5,01339
204,4032,53.5,20.8,6.9,9.7,80757,83.4,51.3,01370
205,3662,0.0,19.9,2.8,16.4,83756,112.2,31.3,01375
206,4581,0.0,29.0,4.6,2.4,102947,98.7,45.7,01452
207,7572,76.1,37.6,4.3,10.3,97408,154.7,42.3,01464
208,1964,50.0,29.2,3.6,4.6,129214,93.9,44.5,01474
209,16412,7.5,29.5,5.9,4.6,93144,94.8,46.8,01501
210,3098,33.3,25.4,2.4,2.9,127925,101.0,47.6,01503
211,9201,37.2,34.3,5.7,4.0,92786,91.7,41.6,01504
212,13855,40.2,29.8,4.2,6.0,80971,105.7,38.9,01510
213,2123,37.3,30.6,4.8,4.8,93723,103.2,42.2,01515
214,11856,35.6,36.9,4.7,12.2,72811,104.3,45.1,01562
215,9297,4.3,29.8,3.9,2.1,118941,100.8,44.8,01590
216,8000,48.7,21.0,5.5,6.0,127069,91.6,44.7,01564
217,7706,2.1,20.4,5.5,4.9,135196,105.4,42.0,01568
218,11637,57.0,32.7,8.3,7.8,87099,105.2,37.9,01571
219,28742,41.1,31.8,7.6,27.6,54949,90.7,31.7,01605
220,19375,22.9,27.9,6.6,8.8,80802,91.4,41.9,01606
221,5546,17.8,8.3,6.4,5.3,134731,104.0,43.5,01719
222,23026,55.0,35.5,8.7,18.6,51896,93.3,35.0,01013
223,728,100.0,32.7,9.2,14.0,71700,101.7,47.3,01029
224,1272,-666666666.0,34.3,7.9,7.0,78022,112.7,49.9,01008
225,531,62.5,29.7,8.9,11.3,84295,86.3,43.2,01012
226,1151,17.5,36.6,6.1,17.3,59757,119.2,38.6,01031
227,551,0.0,23.3,5.2,2.2,82706,78.9,49.8,01032
228,21331,40.9,33.8,5.4,5.8,85309,102.8,44.4,01056
229,15729,47.2,14.6,5.4,14.7,84681,66.7,34.3,01060
230,8919,49.3,30.3,6.9,7.3,78030,92.9,47.1,01069
231,637,0.0,22.4,5.1,8.0,70784,108.2,50.2,01070
232,9711,100.0,23.9,4.8,7.2,96061,102.9,46.6,01077
233,3182,0.0,43.6,4.8,9.1,68089,95.1,36.9,01083
234,14659,0.0,24.6,3.8,4.0,123474,94.9,47.2,01095
235,1186,100.0,30.5,1.4,7.4,90580,86.5,50.4,01098
236,6750,72.2,28.4,5.9,10.5,72225,84.0,42.9,01129
237,2662,0.0,28.5,8.1,5.7,91177,109.6,46.9,01237
238,108,-666666666.0,30.6,0.0,9.3,72605,100.0,60.8,01244
239,48218,46.5,30.6,7.0,21.6,59903,94.2,33.0,01902
240,17218,30.5,26.5,4.8,4.9,92614,97.9,43.5,01913
241,2812,0.0,10.0,1.6,5.5,113428,93.7,48.4,01922
242,29858,5.2,27.2,6.1,8.5,90086,94.2,49.0,01930
243,32098,8.4,18.5,4.0,5.2,124057,90.5,45.5,01701
244,24166,19.0,21.5,5.4,12.9,84312,91.2,40.5,01602
245,2451,69.2,35.3,3.3,5.4,96541,119.0,40.6,01611
246,14031,0.0,9.0,4.8,2.5,153074,94.7,43.4,01730
247,13047,0.0,26.2,3.6,8.8,87886,85.7,38.9,01835
248,17320,34.5,34.3,5.0,6.6,96196,92.0,38.3,01904
249,3488,-666666666.0,22.4,2.4,4.8,124754,90.6,51.8,01908
250,20393,0.0,9.0,4.6,4.6,158804,87.1,47.8,01945
251,17890,20.7,14.7,6.1,7.0,122919,80.7,49.0,01950
252,9035,75.0,32.2,6.5,9.7,80588,109.3,45.5,01952
253,5179,0.0,16.9,2.6,1.7,161613,72.0,24.7,01984
254,22680,0.0,6.9,3.6,3.7,156257,101.8,43.7,01720
255,19383,0.0,12.5,3.5,6.2,193610,106.3,46.6,01742
256,5955,0.0,24.0,4.9,4.2,104914,88.9,44.4,01747
257,5995,28.6,23.8,5.0,0.5,145210,101.7,44.8,01756
258,6697,0.0,23.9,3.0,2.4,108251,112.8,44.6,01834
259,13521,0.0,35.0,6.2,6.0,94552,103.0,43.2,01527
260,3497,0.0,18.7,4.6,9.4,124782,96.1,41.2,01522
261,7709,8.7,21.6,7.3,9.5,120602,83.6,39.5,01536
262,11386,27.8,35.3,3.8,9.9,79867,102.1,39.7,01540
263,8463,0.0,28.7,4.1,2.3,108807,106.5,40.2,01543
264,36269,0.0,17.2,4.4,3.9,126754,97.5,41.7,01545
265,13864,9.6,32.6,8.0,8.3,100880,102.1,40.3,01569
266,36772,32.9,32.8,7.3,19.9,66151,103.0,34.0,01604
267,39771,18.6,28.5,4.8,6.5,97292,91.5,39.5,01752
268,40375,19.6,27.9,4.9,5.9,98876,98.4,40.0,01801
269,30948,19.4,35.2,4.9,7.2,98233,95.2,40.1,01826
270,14758,67.3,17.7,4.5,6.1,136524,83.8,44.6,01907
271,9656,100.0,27.4,5.4,3.6,143564,123.9,43.9,01949
272,4152,-666666666.0,15.9,3.5,3.4,116206,71.5,49.9,01951
273,3490,0.0,28.0,2.8,3.5,98744,85.6,42.6,01518
274,15061,15.9,19.5,4.7,3.6,118463,96.3,41.8,01520
275,29849,56.3,31.4,8.9,20.1,69216,101.8,34.3,01851
276,24894,15.7,16.4,3.7,3.1,138406,100.6,42.5,01867
277,5248,56.9,28.9,11.9,30.1,43260,87.9,33.8,01840
278,48295,46.9,34.3,11.4,26.0,48967,97.2,31.3,01841
279,13810,11.2,20.8,4.9,7.1,108783,97.2,48.8,01938
280,7991,0.0,10.8,3.8,10.2,136234,102.2,40.5,01982
281,1206,0.0,40.0,4.2,4.5,78183,81.4,47.9,01071
282,1490,57.1,13.6,5.8,12.3,84523,92.3,45.6,01072
283,10587,28.6,18.7,6.6,14.4,94257,102.1,45.2,01062
284,1849,0.0,28.8,4.8,3.8,94425,95.0,46.7,01068
285,6090,0.0,29.9,6.2,4.6,112179,101.3,46.4,01073
286,205,77.8,24.0,15.9,26.9,135397,66.7,58.4,01264
287,17755,41.1,23.4,6.3,10.5,82226,64.3,40.3,01075
288,2607,27.3,26.9,5.2,8.2,91384,100.2,44.3,01096
289,2351,37.5,32.3,6.8,6.0,88653,100.4,51.8,01223
290,1759,0.0,14.3,0.0,9.6,112502,82.8,43.9,01342
291,7853,0.0,15.0,6.2,11.2,101729,84.5,31.9,01267
292,4493,-666666666.0,20.0,4.8,3.9,108281,96.4,57.2,01240
293,475,-666666666.0,23.5,0.0,0.8,80038,77.2,33.8,01242
294,764,-666666666.0,39.4,5.4,8.4,68216,126.0,47.3,01256
295,1518,70.0,42.8,6.8,10.6,71697,87.4,41.9,01344
296,1231,35.3,41.2,12.6,6.8,70211,94.5,37.7,01349
297,917,0.0,28.0,7.7,6.1,86263,124.8,50.8,01355
298,3012,2.9,28.5,7.2,4.0,82550,102.3,46.0,01360
299,40666,52.6,35.5,10.1,17.9,65885,95.4,35.4,01420
300,3195,57.6,37.2,6.2,7.9,104293,101.3,45.9,01431
301,4630,0.0,8.5,6.7,3.9,170165,105.3,47.2,01451
302,511,-666666666.0,10.0,0.0,15.1,131737,89.3,51.4,01467
303,7566,0.0,20.5,4.3,1.6,113838,100.1,44.7,01473
304,3406,0.0,31.4,5.2,9.2,89462,106.9,44.9,01506
305,7819,0.0,40.5,10.1,10.2,56094,89.7,45.4,01364
306,5293,0.0,21.5,3.1,2.1,122753,101.2,44.6,03032
