,actual,cleared,data_year,offense,ori,state_abbr
1,1,0,2017,aggravated-assault,NJ0201000,NJ
2,0,0,2017,aggravated-assault,NJ0201100,NJ
3,129,32,2017,aggravated-assault,NJ0201200,NJ
4,20,17,2017,aggravated-assault,NJ0201300,NJ
5,18,16,2017,aggravated-assault,NJ0201400,NJ
6,0,0,2017,aggravated-assault,NJ0201500,NJ
7,6,1,2017,aggravated-assault,NJ0201600,NJ
8,5,4,2017,aggravated-assault,NJ0201700,NJ
9,0,0,2017,aggravated-assault,NJ0201800,NJ
10,34,17,2017,aggravated-assault,NJ0201900,NJ
11,2,0,2017,aggravated-assault,NJ0202000,NJ
12,0,0,2017,aggravated-assault,NJ0202100,NJ
13,0,0,2017,aggravated-assault,NJ0202400,NJ
14,27,12,2017,aggravated-assault,NJ0209100,NJ
15,4,0,2017,aggravated-assault,NJ020SP00,NJ
16,1,1,2017,aggravated-assault,NJ0210200,NJ
17,3,1,2017,aggravated-assault,NJ0210300,NJ
18,0,0,2017,aggravated-assault,NJ0210400,NJ
19,1,1,2017,aggravated-assault,NJ0210700,NJ
0,1,1,2017,aggravated-assault,NJ0140200,NJ
1,2,2,2017,aggravated-assault,NJ0140300,NJ
2,1,0,2017,aggravated-assault,NJ0140400,NJ
3,0,0,2017,aggravated-assault,NJ0140500,NJ
4,0,0,2017,aggravated-assault,NJ0140600,NJ
5,0,0,2017,aggravated-assault,NJ0140700,NJ
6,1,0,2017,aggravated-assault,NJ0140800,NJ
7,15,10,2017,aggravated-assault,NJ0140900,NJ
8,3,0,2017,aggravated-assault,NJ0141000,NJ
9,2,2,2017,aggravated-assault,NJ0141100,NJ
10,4,3,2017,aggravated-assault,NJ0141200,NJ
11,0,0,2017,aggravated-assault,NJ0141300,NJ
12,4,9,2017,aggravated-assault,NJ0141400,NJ
13,5,4,2017,aggravated-assault,NJ0141500,NJ
14,3,3,2017,aggravated-assault,NJ0141600,NJ
15,3,3,2017,aggravated-assault,NJ0141700,NJ
16,1,0,2017,aggravated-assault,NJ0141800,NJ
17,0,0,2017,aggravated-assault,NJ0141900,NJ
18,3,3,2017,aggravated-assault,NJ0142000,NJ
19,1,0,2017,aggravated-assault,NJ0142100,NJ
0,687,316,2017,aggravated-assault,NJ0090600,NJ
1,29,18,2017,aggravated-assault,NJ0090700,NJ
2,52,42,2017,aggravated-assault,NJ0090800,NJ
3,17,13,2017,aggravated-assault,NJ0090900,NJ
4,104,61,2017,aggravated-assault,NJ0091000,NJ
5,10,6,2017,aggravated-assault,NJ0091100,NJ
6,61,40,2017,aggravated-assault,NJ0091200,NJ
7,0,0,2017,aggravated-assault,NJ009149E,NJ
8,2,0,2017,aggravated-assault,NJ009SP00,NJ
9,0,0,2017,aggravated-assault,NJ0100400,NJ
10,1,1,2017,aggravated-assault,NJ0100500,NJ
11,1,0,2017,aggravated-assault,NJ0100600,NJ
12,1,1,2017,aggravated-assault,NJ0100700,NJ
13,6,5,2017,aggravated-assault,NJ0100900,NJ
14,0,0,2017,aggravated-assault,NJ0101000,NJ
15,1,0,2017,aggravated-assault,NJ0101100,NJ
16,0,0,2017,aggravated-assault,NJ0101400,NJ
17,1,1,2017,aggravated-assault,NJ0101500,NJ
18,3,3,2017,aggravated-assault,NJ0101700,NJ
19,1,1,2017,aggravated-assault,NJ0101900,NJ
0,2,2,2017,aggravated-assault,NJ0041800,NJ
1,3,3,2017,aggravated-assault,NJ0041900,NJ
2,0,0,2017,aggravated-assault,NJ0042000,NJ
3,7,4,2017,aggravated-assault,NJ0042100,NJ
4,56,38,2017,aggravated-assault,NJ0042200,NJ
5,4,4,2017,aggravated-assault,NJ0042300,NJ
6,8,8,2017,aggravated-assault,NJ0042400,NJ
7,5,3,2017,aggravated-assault,NJ0042500,NJ
8,0,0,2017,aggravated-assault,NJ0042600,NJ
9,51,37,2017,aggravated-assault,NJ0042700,NJ
10,22,11,2017,aggravated-assault,NJ0042800,NJ
11,4,3,2017,aggravated-assault,NJ0043000,NJ
12,3,3,2017,aggravated-assault,NJ0043100,NJ
13,5,4,2017,aggravated-assault,NJ0043200,NJ
14,1,0,2017,aggravated-assault,NJ0043300,NJ
15,39,24,2017,aggravated-assault,NJ0043400,NJ
16,2,1,2017,aggravated-assault,NJ0043500,NJ
17,19,17,2017,aggravated-assault,NJ0043600,NJ
18,5,0,2017,aggravated-assault,NJ0043700,NJ
19,2,1,2017,aggravated-assault,NJ0043900,NJ
0,0,0,2017,aggravated-assault,NJ0024100,NJ
1,7,6,2017,aggravated-assault,NJ0024200,NJ
2,0,0,2017,aggravated-assault,NJ0024300,NJ
3,1,1,2017,aggravated-assault,NJ0024400,NJ
4,9,8,2017,aggravated-assault,NJ0024500,NJ
5,6,5,2017,aggravated-assault,NJ0024600,NJ
6,1,0,2017,aggravated-assault,NJ0024700,NJ
7,3,3,2017,aggravated-assault,NJ0024800,NJ
8,1,1,2017,aggravated-assault,NJ0024900,NJ
9,7,8,2017,aggravated-assault,NJ0025000,NJ
10,4,2,2017,aggravated-assault,NJ0025100,NJ
11,0,0,2017,aggravated-assault,NJ0025200,NJ
12,0,0,2017,aggravated-assault,NJ0025300,NJ
13,1,0,2017,aggravated-assault,NJ0025400,NJ
14,2,2,2017,aggravated-assault,NJ0025500,NJ
15,4,4,2017,aggravated-assault,NJ0025600,NJ
16,6,6,2017,aggravated-assault,NJ0025700,NJ
17,0,0,2017,aggravated-assault,NJ0025800,NJ
18,6,5,2017,aggravated-assault,NJ0025900,NJ
19,29,19,2017,aggravated-assault,NJ0026000,NJ
0,12,7,2017,aggravated-assault,NJNYPOA00,NJ
1,1,0,2017,aggravated-assault,NJ0010000,NJ
2,3,3,2017,aggravated-assault,NJ0010100,NJ
3,161,44,2017,aggravated-assault,NJ0010200,NJ
4,2,2,2017,aggravated-assault,NJ0010300,NJ
5,7,3,2017,aggravated-assault,NJ0010400,NJ
6,7,4,2017,aggravated-assault,NJ0010700,NJ
7,40,35,2017,aggravated-assault,NJ0010800,NJ
8,58,31,2017,aggravated-assault,NJ0011100,NJ
9,22,14,2017,aggravated-assault,NJ0011200,NJ
10,14,11,2017,aggravated-assault,NJ0011300,NJ
11,1,1,2017,aggravated-assault,NJ0011400,NJ
12,2,1,2017,aggravated-assault,NJ0011500,NJ
13,3,3,2017,aggravated-assault,NJ0011600,NJ
14,3,3,2017,aggravated-assault,NJ0011700,NJ
15,0,0,2017,aggravated-assault,NJ0011800,NJ
16,61,26,2017,aggravated-assault,NJ0011900,NJ
17,13,5,2017,aggravated-assault,NJ0012100,NJ
18,2,2,2017,aggravated-assault,NJ0012200,NJ
19,0,0,2017,aggravated-assault,NJ0012400,NJ
0,1,1,2017,aggravated-assault,NJ0191900,NJ
1,8,6,2017,aggravated-assault,NJ0192200,NJ
2,14,5,2017,aggravated-assault,NJ019SP00,NJ
3,1,0,2017,aggravated-assault,NJ0200100,NJ
4,1,0,2017,aggravated-assault,NJ0200200,NJ
5,2,1,2017,aggravated-assault,NJ0200300,NJ
6,465,108,2017,aggravated-assault,NJ0200400,NJ
7,0,0,2017,aggravated-assault,NJ0200500,NJ
8,0,0,2017,aggravated-assault,NJ0200600,NJ
9,18,5,2017,aggravated-assault,NJ0200700,NJ
10,4,4,2017,aggravated-assault,NJ0200800,NJ
11,78,40,2017,aggravated-assault,NJ0200900,NJ
12,1,0,2017,aggravated-assault,NJ0201000,NJ
13,0,0,2017,aggravated-assault,NJ0201100,NJ
14,129,32,2017,aggravated-assault,NJ0201200,NJ
