ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,County
,Number of Arrests,,0,0,0,0,8,21,0,Middlesex
NJ012SP,STATE POLICE MIDDLESEX COUNTY,,,,,,,,,Middlesex
,Number of Offenses,,0,0,0,3,1,28,3,Middlesex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Middlesex
,Number of Clearances,,0,0,0,0,0,1,0,Middlesex
,Percent Cleared,,0,0,0,0,0,4,0,Middlesex
,Number of Arrests,,0,0,0,0,0,0,0,Middlesex
NJ0122500,WOODBRIDGE TWP PD,100884,,,,,,,,Middlesex
NJ0133000,ABERDEEN TWP PD,18378,,,,,,,,Monmouth
,Number of Offenses,,0,2,2,7,18,137,8,Monmouth
,Number of Offenses,,0,2,2,7,18,137,8,Monmouth
,"Rate Per 100,000",,0,10.9,10.9,38.1,97.9,745.5,43.5,Monmouth
,"Rate Per 100,000",,0,10.9,10.9,38.1,97.9,745.5,43.5,Monmouth
,"Rate Per 100,000",,0,10.9,10.9,38.1,97.9,745.5,43.5,Monmouth
,"Rate Per 100,000",,0,10.9,10.9,38.1,97.9,745.5,43.5,Monmouth
,Number of Clearances,,0,1,2,6,2,46,1,Monmouth
,Number of Clearances,,0,1,2,6,2,46,1,Monmouth
,Percent Cleared,,0,50,100,86,11,34,13,Monmouth
,Percent Cleared,,0,50,100,86,11,34,13,Monmouth
,Number of Arrests,,0,1,6,4,1,26,0,Monmouth
,Number of Arrests,,0,1,6,4,1,26,0,Monmouth
NJ0130100,ALLENHURST PD,488,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,0,0,4,3,Monmouth
,"Rate Per 100,000",,0,0,0,0,0,819.7,614.8,Monmouth
,Number of Clearances,,0,0,0,0,0,0,0,Monmouth
,Percent Cleared,,0,0,0,0,0,0,0,Monmouth
,Number of Arrests,,0,0,0,1,0,1,0,Monmouth
NJ0130200,ALLENTOWN BORO PD,1809,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,0,1,4,0,Monmouth
,"Rate Per 100,000",,0,0,0,0,55.3,221.1,0,Monmouth
,Number of Clearances,,0,0,0,0,0,0,0,Monmouth
,Percent Cleared,,0,0,0,0,0,0,0,Monmouth
,Number of Arrests,,0,0,0,0,0,0,0,Monmouth
NJ0130300,ASBURY PARK PD,15717,,,,,,,,Monmouth
,Number of Offenses,,3,10,54,107,101,538,14,Monmouth
,"Rate Per 100,000",,19.1,63.6,343.6,680.8,642.6,"3,423.0",89.1,Monmouth
,Number of Clearances,,4,1,14,55,22,72,2,Monmouth
,Percent Cleared,,133,10,26,51,22,13,14,Monmouth
,Number of Arrests,,8,1,14,54,25,58,2,Monmouth
NJ0130500,ATLANTIC HIGHLANDS PD,4302,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,1,2,38,0,Monmouth
,"Rate Per 100,000",,0,0,0,23.2,46.5,883.3,0,Monmouth
,Number of Clearances,,0,0,0,1,0,11,0,Monmouth
,Percent Cleared,,0,0,0,100,0,29,0,Monmouth
,Number of Arrests,,0,0,0,2,0,11,0,Monmouth
NJ0130600,AVON-BY-THE-SEA PD,1780,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,1,3,26,2,Monmouth
,"Rate Per 100,000",,0,0,0,56.2,168.5,"1,460.7",112.4,Monmouth
,Number of Clearances,,0,0,0,0,0,0,0,Monmouth
,Percent Cleared,,0,0,0,0,0,0,0,Monmouth
,Number of Arrests,,0,0,0,1,0,1,0,Monmouth
NJ0130700,BELMAR PD,5666,,,,,,,,Monmouth
,Number of Offenses,,0,3,2,1,16,63,4,Monmouth
,"Rate Per 100,000",,0,52.9,35.3,17.6,282.4,"1,111.9",70.6,Monmouth
,Number of Clearances,,0,2,0,1,3,6,2,Monmouth
,Percent Cleared,,0,67,0,100,19,10,50,Monmouth
,Number of Arrests,,0,0,0,1,3,7,0,Monmouth
NJ0130800,BRADLEY BEACH PD,4214,,,,,,,,Monmouth
,Number of Offenses,,0,1,0,0,2,53,0,Monmouth
,"Rate Per 100,000",,0,23.7,0,0,47.5,"1,257.7",0,Monmouth
,Number of Clearances,,0,1,0,0,1,13,0,Monmouth
,Percent Cleared,,0,100,0,0,50,25,0,Monmouth
,Number of Arrests,,0,1,0,1,2,14,0,Monmouth
NJ0130900,BRIELLE PD,4719,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,0,4,14,5,Monmouth
,"Rate Per 100,000",,0,0,0,0,84.8,296.7,106.0,Monmouth
,Number of Clearances,,0,0,0,0,1,2,0,Monmouth
,Percent Cleared,,0,0,0,0,25,14,0,Monmouth
,Number of Arrests,,0,0,0,0,1,3,0,Monmouth
NJ0135600,BROOKDALE COLLEGE PD,0,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,0,0,11,1,Monmouth
,"Rate Per 100,000",,0,0,0,0,0,0,0,Monmouth
,Number of Clearances,,0,0,0,0,0,0,0,Monmouth
,Percent Cleared,,0,0,0,0,0,0,0,Monmouth
,Number of Arrests,,0,0,0,0,0,0,0,Monmouth
NJ0130400,COLTS NECK PD,9944,,,,,,,,Monmouth
,Number of Offenses,,5,0,1,2,8,29,14,Monmouth
,"Rate Per 100,000",,50.3,0,10.1,20.1,80.5,291.6,140.8,Monmouth
,Number of Clearances,,4,0,0,2,1,2,5,Monmouth
,Percent Cleared,,80,0,0,100,13,7,36,Monmouth
,Number of Arrests,,1,0,0,0,1,0,1,Monmouth
NJ0131000,DEAL PD,730,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,2,2,12,9,Monmouth
,"Rate Per 100,000",,0,0,0,274.0,274.0,"1,643.8","1,232.9",Monmouth
,Number of Clearances,,0,0,0,1,0,2,1,Monmouth
,Percent Cleared,,0,0,0,50,0,17,11,Monmouth
,Number of Arrests,,0,0,0,3,0,0,0,Monmouth
NJ0131100,EATONTOWN PD,12364,,,,,,,,Monmouth
,Number of Offenses,,0,10,8,12,17,255,5,Monmouth
,"Rate Per 100,000",,0,80.9,64.7,97.1,137.5,"2,062.4",40.4,Monmouth
,Number of Clearances,,0,3,3,10,5,67,0,Monmouth
,Percent Cleared,,0,30,38,83,29,26,0,Monmouth
,Number of Arrests,,0,2,5,11,6,77,0,Monmouth
NJ0131200,ENGLISHTOWN PD,1959,,,,,,,,Monmouth
,Number of Offenses,,0,2,0,4,2,15,3,Monmouth
,"Rate Per 100,000",,0,102.1,0,204.2,102.1,765.7,153.1,Monmouth
,Number of Clearances,,0,1,0,2,0,2,0,Monmouth
,Percent Cleared,,0,50,0,50,0,13,0,Monmouth
,Number of Arrests,,0,0,0,0,0,1,0,Monmouth
NJ0131300,FAIR HAVEN PD,5927,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,1,1,19,3,Monmouth
,"Rate Per 100,000",,0,0,0,16.9,16.9,320.6,50.6,Monmouth
,Number of Clearances,,0,0,0,1,0,6,0,Monmouth
,Percent Cleared,,0,0,0,100,0,32,0,Monmouth
,Number of Arrests,,0,0,0,1,0,3,0,Monmouth
NJ0131500,FREEHOLD BORO PD,11873,,,,,,,,Monmouth
,Number of Offenses,,0,1,7,8,41,81,7,Monmouth
,"Rate Per 100,000",,0,8.4,59.0,67.4,345.3,682.2,59.0,Monmouth
,Number of Clearances,,0,1,1,8,14,16,0,Monmouth
,Percent Cleared,,0,100,14,100,34,20,0,Monmouth
,Number of Arrests,,0,1,3,4,4,5,0,Monmouth
NJ0131600,FREEHOLD TWP PD,34896,,,,,,,,Monmouth
,Number of Offenses,,2,5,9,25,26,410,15,Monmouth
,"Rate Per 100,000",,5.7,14.3,25.8,71.6,74.5,"1,174.9",43.0,Monmouth
,Number of Clearances,,2,1,6,11,4,109,3,Monmouth
,Percent Cleared,,100,20,67,44,15,27,20,Monmouth
,Number of Arrests,,1,2,5,11,4,100,4,Monmouth
NJ0133900,HAZLET TWP PD,19970,,,,,,,,Monmouth
,Number of Offenses,,0,4,4,15,13,187,8,Monmouth
,"Rate Per 100,000",,0,20.0,20.0,75.1,65.1,936.4,40.1,Monmouth
,Number of Clearances,,0,2,1,13,4,38,1,Monmouth
,Percent Cleared,,0,50,25,87,31,20,13,Monmouth
,Number of Arrests,,0,2,1,12,7,39,1,Monmouth
NJ0131700,HIGHLANDS PD,4794,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,1,4,24,0,Monmouth
,"Rate Per 100,000",,0,0,0,20.9,83.4,500.6,0,Monmouth
,Number of Clearances,,0,0,0,0,3,9,0,Monmouth
,Percent Cleared,,0,0,0,0,75,38,0,Monmouth
,Number of Arrests,,0,0,0,1,5,9,0,Monmouth
NJ0131800,HOLMDEL PD,16621,,,,,,,,Monmouth
,Number of Offenses,,0,2,0,2,6,108,15,Monmouth
,"Rate Per 100,000",,0,12.0,0,12.0,36.1,649.8,90.2,Monmouth
,Number of Clearances,,0,0,0,1,1,29,5,Monmouth
,Percent Cleared,,0,0,0,50,17,27,33,Monmouth
,Number of Arrests,,0,0,0,1,1,29,1,Monmouth
NJ0131900,HOWELL TWP PD,52672,,,,,,,,Monmouth
,Number of Offenses,,0,4,8,24,61,282,8,Monmouth
,"Rate Per 100,000",,0,7.6,15.2,45.6,115.8,535.4,15.2,Monmouth
,Number of Clearances,,0,4,4,22,14,105,2,Monmouth
,Percent Cleared,,0,100,50,92,23,37,25,Monmouth
,Number of Arrests,,0,1,3,21,11,56,1,Monmouth
NJ0132000,INTERLAKEN PD,798,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,0,5,0,0,Monmouth
,"Rate Per 100,000",,0,0,0,0,626.6,0,0,Monmouth
,Number of Clearances,,0,0,0,0,0,0,0,Monmouth
,Percent Cleared,,0,0,0,0,0,0,0,Monmouth
,Number of Arrests,,0,0,0,0,0,1,0,Monmouth
NJ0132100,KEANSBURG PD,9766,,,,,,,,Monmouth
,Number of Offenses,,0,4,10,19,24,132,4,Monmouth
,"Rate Per 100,000",,0,41.0,102.4,194.6,245.8,"1,351.6",41.0,Monmouth
,Number of Clearances,,0,2,5,18,1,30,2,Monmouth
,Percent Cleared,,0,50,50,95,4,23,50,Monmouth
,Number of Arrests,,0,2,3,16,0,16,2,Monmouth
NJ0132200,KEYPORT PD,7065,,,,,,,,Monmouth
,Number of Offenses,,1,0,5,11,15,64,8,Monmouth
,"Rate Per 100,000",,14.2,0,70.8,155.7,212.3,905.9,113.2,Monmouth
,Number of Clearances,,1,0,0,7,3,7,1,Monmouth
,Percent Cleared,,100,0,0,64,20,11,13,Monmouth
,Number of Arrests,,1,0,0,9,3,7,1,Monmouth
NJ0134700,LAKE COMO BORO PD,1710,,,,,,,,Monmouth
,Number of Offenses,,0,1,0,1,3,13,0,Monmouth
,"Rate Per 100,000",,0,58.5,0,58.5,175.4,760.2,0,Monmouth
,Number of Clearances,,0,0,0,1,2,2,0,Monmouth
,Percent Cleared,,0,0,0,100,67,15,0,Monmouth
,Number of Arrests,,0,0,0,3,1,0,0,Monmouth
NJ0132300,LITTLE SILVER PD,5898,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,2,3,27,4,Monmouth
,"Rate Per 100,000",,0,0,0,33.9,50.9,457.8,67.8,Monmouth
,Number of Clearances,,0,0,0,2,0,3,1,Monmouth
,Percent Cleared,,0,0,0,100,0,11,25,Monmouth
,Number of Arrests,,0,0,0,1,0,2,0,Monmouth
NJ0132400,LOCH ARBOUR VILLAGE PD,181,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,0,1,3,0,Monmouth
,"Rate Per 100,000",,0,0,0,0,552.5,"1,657.5",0,Monmouth
,Number of Clearances,,0,0,0,0,0,1,0,Monmouth
,Percent Cleared,,0,0,0,0,0,33,0,Monmouth
,Number of Arrests,,0,0,0,0,0,2,0,Monmouth
NJ0132500,LONG BRANCH PD,30750,,,,,,,,Monmouth
,Number of Offenses,,3,7,24,90,94,514,31,Monmouth
,"Rate Per 100,000",,9.8,22.8,78.0,292.7,305.7,"1,671.5",100.8,Monmouth
,Number of Clearances,,6,2,25,84,40,252,13,Monmouth
,Percent Cleared,,200,29,104,93,43,49,42,Monmouth
,Number of Arrests,,3,0,13,44,17,66,0,Monmouth
NJ0132600,MANALAPAN TWP PD,40150,,,,,,,,Monmouth
,Number of Offenses,,0,7,2,4,36,165,17,Monmouth
,"Rate Per 100,000",,0,17.4,5.0,10.0,89.7,411.0,42.3,Monmouth
,Number of Clearances,,0,0,0,2,6,17,2,Monmouth
,Percent Cleared,,0,0,0,50,17,10,12,Monmouth
,Number of Arrests,,0,0,0,2,9,15,3,Monmouth
NJ0132700,MANASQUAN PD,5903,,,,,,,,Monmouth
,Number of Offenses,,0,0,2,5,5,50,5,Monmouth
,"Rate Per 100,000",,0,0,33.9,84.7,84.7,847.0,84.7,Monmouth
,Number of Clearances,,0,0,3,4,3,7,2,Monmouth
,Percent Cleared,,0,0,150,80,60,14,40,Monmouth
,Number of Arrests,,0,0,2,1,3,5,1,Monmouth
NJ0132800,MARLBORO TWP PD,40338,,,,,,,,Monmouth
,Number of Offenses,,0,1,1,23,37,206,28,Monmouth
,"Rate Per 100,000",,0,2.5,2.5,57.0,91.7,510.7,69.4,Monmouth
,Number of Clearances,,0,1,2,15,7,27,8,Monmouth
,Percent Cleared,,0,100,200,65,19,13,29,Monmouth
,Number of Arrests,,0,1,1,15,8,37,1,Monmouth
NJ0132900,MATAWAN PD,8864,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,0,0,9,1,Monmouth
,"Rate Per 100,000",,0,0,0,0,0,101.5,11.3,Monmouth
,Number of Clearances,,0,0,0,0,0,4,0,Monmouth
,Percent Cleared,,0,0,0,0,0,44,0,Monmouth
,Number of Arrests,,0,0,0,5,0,2,0,Monmouth
NJ0133100,MIDDLETOWN PD,65469,,,,,,,,Monmouth
,Number of Offenses,,0,1,2,11,32,334,22,Monmouth
,"Rate Per 100,000",,0,1.5,3.1,16.8,48.9,510.2,33.6,Monmouth
,Number of Clearances,,0,0,2,9,3,98,2,Monmouth
,Percent Cleared,,0,0,100,82,9,29,9,Monmouth
,Number of Arrests,,0,0,3,9,5,90,2,Monmouth
NJ0133300,MONMOUTH BEACH PD,3231,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,0,5,17,4,Monmouth
,"Rate Per 100,000",,0,0,0,0,154.8,526.2,123.8,Monmouth
,Number of Clearances,,0,0,0,0,1,2,0,Monmouth
,Percent Cleared,,0,0,0,0,20,12,0,Monmouth
,Number of Arrests,,0,0,0,0,3,2,0,Monmouth
NJ0138900,MONMOUTH CO PROSECUTOR'S OFFICE,0,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,0,0,0,0,Monmouth
,"Rate Per 100,000",,0,0,0,0,0,0,0,Monmouth
,Number of Clearances,,0,0,0,0,0,0,0,Monmouth
,Percent Cleared,,0,0,0,0,0,0,0,Monmouth
,Number of Arrests,,0,0,0,0,0,1,0,Monmouth
NJ0130000,MONMOUTH CO SHERIFF'S DEPT,0,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,8,0,0,0,Monmouth
,"Rate Per 100,000",,0,0,0,0,0,0,0,Monmouth
,Number of Clearances,,0,0,0,8,0,0,0,Monmouth
,Percent Cleared,,0,0,0,100,0,0,0,Monmouth
,Number of Arrests,,0,0,0,7,0,0,0,Monmouth
NJ013559E,MONMOUTH UNIVERSITY PD,,,,,,,,,Monmouth
,Number of Offenses,,0,1,0,0,2,22,0,Monmouth
,"Rate Per 100,000",,0,0,0,0,0,0,0,Monmouth
,Number of Clearances,,0,0,0,0,0,3,0,Monmouth
,Percent Cleared,,0,0,0,0,0,14,0,Monmouth
,Number of Arrests,,0,0,0,0,0,2,0,Monmouth
NJ0133500,NEPTUNE CITY PD,4694,,,,,,,,Monmouth
,Number of Offenses,,0,1,1,8,9,130,2,Monmouth
,"Rate Per 100,000",,0,21.3,21.3,170.4,191.7,"2,769.5",42.6,Monmouth
,Number of Clearances,,0,1,1,5,4,36,0,Monmouth
,Percent Cleared,,0,100,100,63,44,28,0,Monmouth
,Number of Arrests,,0,0,1,7,5,41,0,Monmouth
NJ0133400,NEPTUNE TWP PD,27825,,,,,,,,Monmouth
,Number of Offenses,,2,4,24,76,92,749,10,Monmouth
,"Rate Per 100,000",,7.2,14.4,86.3,273.1,330.6,"2,691.8",35.9,Monmouth
,Number of Clearances,,2,1,10,42,14,208,1,Monmouth
,Percent Cleared,,100,25,42,55,15,28,10,Monmouth
,Number of Arrests,,3,1,12,41,15,229,1,Monmouth
NJ0133700,OCEAN TWP PD,26947,,,,,,,,Monmouth
,Number of Offenses,,0,1,8,11,66,505,15,Monmouth
,"Rate Per 100,000",,0,3.7,29.7,40.8,244.9,"1,874.0",55.7,Monmouth
,Number of Clearances,,0,1,6,9,6,172,1,Monmouth
,Percent Cleared,,0,100,75,82,9,34,7,Monmouth
,Number of Arrests,,0,1,9,9,5,168,0,Monmouth
NJ0133800,OCEANPORT PD,5742,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,4,11,33,3,Monmouth
,"Rate Per 100,000",,0,0,0,69.7,191.6,574.7,52.2,Monmouth
,Number of Clearances,,0,0,0,3,2,8,0,Monmouth
,Percent Cleared,,0,0,0,75,18,24,0,Monmouth
,Number of Arrests,,0,0,0,1,3,4,0,Monmouth
NJ0134000,RED BANK PD,12128,,,,,,,,Monmouth
,Number of Offenses,,1,0,6,14,14,139,9,Monmouth
,"Rate Per 100,000",,8.2,0,49.5,115.4,115.4,"1,146.1",74.2,Monmouth
,Number of Clearances,,1,0,2,11,4,23,2,Monmouth
,Percent Cleared,,100,0,33,79,29,17,22,Monmouth
,Number of Arrests,,1,1,2,11,7,20,0,Monmouth
NJ0134200,RUMSON PD,6835,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,1,3,13,10,Monmouth
,"Rate Per 100,000",,0,0,0,14.6,43.9,190.2,146.3,Monmouth
,Number of Clearances,,0,0,0,1,2,0,0,Monmouth
,Percent Cleared,,0,0,0,100,67,0,0,Monmouth
,Number of Arrests,,0,0,0,1,4,0,0,Monmouth
NJ0134300,SEA BRIGHT PD,1379,,,,,,,,Monmouth
,Number of Offenses,,0,1,0,1,2,3,0,Monmouth
,"Rate Per 100,000",,0,72.5,0,72.5,145.0,217.5,0,Monmouth
,Number of Clearances,,0,0,0,1,0,1,0,Monmouth
,Percent Cleared,,0,0,0,100,0,33,0,Monmouth
,Number of Arrests,,0,0,0,2,0,3,0,Monmouth
NJ0134400,SEA GIRT PD,1766,,,,,,,,Monmouth
,Number of Offenses,,0,0,2,2,2,24,6,Monmouth
,"Rate Per 100,000",,0,0,113.3,113.3,113.3,"1,359.0",339.8,Monmouth
,Number of Clearances,,0,0,0,1,0,3,0,Monmouth
,Percent Cleared,,0,0,0,50,0,13,0,Monmouth
,Number of Arrests,,0,0,2,1,0,4,1,Monmouth
NJ0134500,SHREWSBURY PD,4170,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,1,10,72,3,Monmouth
,"Rate Per 100,000",,0,0,0,24.0,239.8,"1,726.6",71.9,Monmouth
,Number of Clearances,,0,0,0,1,1,21,1,Monmouth
,Percent Cleared,,0,0,0,100,10,29,33,Monmouth
,Number of Arrests,,0,0,0,1,1,23,0,Monmouth
NJ0134900,SPRING LAKE HEIGHTS PD,4607,,,,,,,,Monmouth
,Number of Offenses,,0,0,1,0,1,11,5,Monmouth
,"Rate Per 100,000",,0,0,21.7,0,21.7,238.8,108.5,Monmouth
,Number of Clearances,,0,0,1,0,0,1,0,Monmouth
,Percent Cleared,,0,0,100,0,0,9,0,Monmouth
,Number of Arrests,,0,0,1,0,0,0,0,Monmouth
NJ0134800,SPRING LAKE PD,2958,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,0,4,35,2,Monmouth
,"Rate Per 100,000",,0,0,0,0,135.2,"1,183.2",67.6,Monmouth
,Number of Clearances,,0,0,0,0,1,2,0,Monmouth
,Percent Cleared,,0,0,0,0,25,6,0,Monmouth
,Number of Arrests,,0,0,0,0,1,3,0,Monmouth
NJ013SP,STATE POLICE MONMOUTH COUNTY,,,,,,,,,Monmouth
,Number of Offenses,,0,1,1,11,18,53,6,Monmouth
,"Rate Per 100,000",,0,0,0,0,0,0,0,Monmouth
,Number of Clearances,,0,0,0,4,1,4,0,Monmouth
,Percent Cleared,,0,0,0,36,6,8,0,Monmouth
,Number of Arrests,,0,0,0,7,1,9,0,Monmouth
NJ0133600,TINTON FALLS PD,17754,,,,,,,,Monmouth
,Number of Offenses,,0,0,1,4,15,164,3,Monmouth
,"Rate Per 100,000",,0,0,5.6,22.5,84.5,923.7,16.9,Monmouth
,Number of Clearances,,0,0,1,2,1,34,1,Monmouth
,Percent Cleared,,0,0,100,50,7,21,33,Monmouth
,Number of Arrests,,0,0,1,3,0,41,0,Monmouth
NJ0135000,UNION BEACH PD,5469,,,,,,,,Monmouth
,Number of Offenses,,0,1,0,6,2,20,2,Monmouth
,"Rate Per 100,000",,0,18.3,0,109.7,36.6,365.7,36.6,Monmouth
,Number of Clearances,,0,1,0,6,0,6,1,Monmouth
,Percent Cleared,,0,100,0,100,0,30,50,Monmouth
,Number of Arrests,,0,1,0,6,0,5,0,Monmouth
NJ0135200,WALL TWP PD,25955,,,,,,,,Monmouth
,Number of Offenses,,0,0,0,7,36,225,1,Monmouth
,"Rate Per 100,000",,0,0,0,27.0,138.7,866.9,3.9,Monmouth
,Number of Clearances,,0,0,0,3,7,46,0,Monmouth
,Percent Cleared,,0,0,0,43,19,20,0,Monmouth
,Number of Arrests,,0,0,0,7,11,48,0,Monmouth
NJ0135300,WEST LONG BRANCH PD,7957,,,,,,,,Monmouth
NJ0140100,BOONTON PD,8236,,,,,,,,Morris
,Number of Offenses,,0,1,2,4,11,79,4,Morris
,"Rate Per 100,000",,0,12.1,24.3,48.6,133.6,959.2,48.6,Morris
,Number of Clearances,,0,1,1,2,2,28,0,Morris
,Percent Cleared,,0,100,50,50,18,35,0,Morris
,Number of Arrests,,0,0,1,6,1,38,0,Morris
NJ0140200,BOONTON TWP PD,4299,,,,,,,,Morris
,Number of Offenses,,0,1,1,0,3,20,1,Morris
,"Rate Per 100,000",,0,23.3,23.3,0,69.8,465.2,23.3,Morris
,Number of Clearances,,0,0,1,0,0,0,0,Morris
,Percent Cleared,,0,0,100,0,0,0,0,Morris
,Number of Arrests,,0,0,3,0,0,0,0,Morris
NJ0140300,BUTLER BORO PD,7679,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,11,37,2,Morris
,"Rate Per 100,000",,0,0,0,0,143.2,481.8,26.0,Morris
,Number of Clearances,,0,0,0,0,1,5,0,Morris
,Percent Cleared,,0,0,0,0,9,14,0,Morris
,Number of Arrests,,0,0,0,2,2,8,0,Morris
NJ0140400,CHATHAM BORO PD,8793,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,5,30,4,Morris
,"Rate Per 100,000",,0,0,0,0,56.9,341.2,45.5,Morris
,Number of Clearances,,0,0,0,0,1,2,0,Morris
,Percent Cleared,,0,0,0,0,20,7,0,Morris
,Number of Arrests,,0,0,0,0,1,2,0,Morris
NJ0140500,CHATHAM TWP PD,10288,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,2,26,5,Morris
,"Rate Per 100,000",,0,0,0,0,19.4,252.7,48.6,Morris
,Number of Clearances,,0,0,0,0,0,6,0,Morris
,Percent Cleared,,0,0,0,0,0,23,0,Morris
,Number of Arrests,,0,0,0,0,0,4,0,Morris
NJ0140600,CHESTER BORO PD,1643,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,0,6,0,Morris
,"Rate Per 100,000",,0,0,0,0,0,365.2,0,Morris
,Number of Clearances,,0,0,0,0,0,0,0,Morris
,Percent Cleared,,0,0,0,0,0,0,0,Morris
,Number of Arrests,,0,0,0,0,0,0,0,Morris
NJ0140700,CHESTER TWP PD,7809,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,5,14,3,Morris
,"Rate Per 100,000",,0,0,0,0,64.0,179.3,38.4,Morris
,Number of Clearances,,0,0,0,0,0,0,0,Morris
,Percent Cleared,,0,0,0,0,0,0,0,Morris
,Number of Arrests,,0,0,0,1,0,1,0,Morris
NJ0140800,DENVILLE PD,16737,,,,,,,,Morris
,Number of Offenses,,0,1,1,0,7,77,6,Morris
,"Rate Per 100,000",,0,6.0,6.0,0,41.8,460.1,35.8,Morris
,Number of Clearances,,0,1,1,0,5,16,3,Morris
,Percent Cleared,,0,100,100,0,71,21,50,Morris
,Number of Arrests,,0,1,0,3,6,15,1,Morris
NJ0140900,DOVER PD,17982,,,,,,,,Morris
,Number of Offenses,,0,1,10,15,32,141,14,Morris
,"Rate Per 100,000",,0,5.6,55.6,83.4,178.0,784.1,77.9,Morris
,Number of Clearances,,0,0,2,3,5,18,3,Morris
,Percent Cleared,,0,0,20,20,16,13,21,Morris
,Number of Arrests,,0,0,4,22,6,28,3,Morris
NJ0141000,EAST HANOVER TWP PD,11084,,,,,,,,Morris
,Number of Offenses,,0,0,0,2,16,83,7,Morris
,"Rate Per 100,000",,0,0,0,18.0,144.4,748.8,63.2,Morris
,Number of Clearances,,0,0,0,0,0,6,0,Morris
,Percent Cleared,,0,0,0,0,0,7,0,Morris
,Number of Arrests,,0,0,0,1,0,32,2,Morris
NJ0141100,FLORHAM PARK PD,11602,,,,,,,,Morris
,Number of Offenses,,0,0,2,1,8,53,4,Morris
,"Rate Per 100,000",,0,0,17.2,8.6,69.0,456.8,34.5,Morris
,Number of Clearances,,0,1,1,1,2,8,1,Morris
,Percent Cleared,,0,0,50,100,25,15,25,Morris
,Number of Arrests,,0,1,1,1,2,9,0,Morris
NJ0141200,HANOVER TWP PD,14583,,,,,,,,Morris
,Number of Offenses,,0,2,1,1,10,143,8,Morris
,"Rate Per 100,000",,0,13.7,6.9,6.9,68.6,980.6,54.9,Morris
,Number of Clearances,,0,0,0,0,3,55,1,Morris
,Percent Cleared,,0,0,0,0,30,38,13,Morris
,Number of Arrests,,0,0,0,0,4,59,1,Morris
NJ0141300,HARDING TWP PD,3824,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,5,11,2,Morris
,"Rate Per 100,000",,0,0,0,0,130.8,287.7,52.3,Morris
,Number of Clearances,,0,0,1,0,0,4,0,Morris
,Percent Cleared,,0,0,0,0,0,36,0,Morris
,Number of Arrests,,0,0,0,0,0,3,1,Morris
NJ0141400,JEFFERSON TWP PD,21071,,,,,,,,Morris
,Number of Offenses,,0,0,0,5,16,64,4,Morris
,"Rate Per 100,000",,0,0,0,23.7,75.9,303.7,19.0,Morris
,Number of Clearances,,0,0,0,5,1,6,1,Morris
,Percent Cleared,,0,0,0,100,6,9,25,Morris
,Number of Arrests,,0,0,0,7,2,2,2,Morris
NJ0141500,KINNELON BORO PD,10080,,,,,,,,Morris
,Number of Offenses,,0,0,0,1,13,11,1,Morris
,"Rate Per 100,000",,0,0,0,9.9,129.0,109.1,9.9,Morris
,Number of Clearances,,0,0,0,1,3,3,0,Morris
,Percent Cleared,,0,0,0,100,23,27,0,Morris
,Number of Arrests,,0,0,0,1,3,3,0,Morris
NJ0141600,LINCOLN PARK PD,10308,,,,,,,,Morris
,Number of Offenses,,0,0,0,0,6,49,5,Morris
,"Rate Per 100,000",,0,0,0,0,58.2,475.4,48.5,Morris
,Number of Clearances,,0,0,0,0,0,16,0,Morris
,Percent Cleared,,0,0,0,0,0,33,0,Morris
,Number of Arrests,,0,0,0,0,1,8,1,Morris
NJ0143000,LONG HILL TWP PD,8587,,,,,,,,Morris
,Number of Offenses,,0,0,1,2,2,37,4,Morris
,"Rate Per 100,000",,0,0,11.6,23.3,23.3,430.9,46.6,Morris
,Number of Clearances,,0,0,1,2,0,5,1,Morris
,Percent Cleared,,0,0,100,100,0,14,25,Morris
,Number of Arrests,,0,0,4,2,0,4,1,Morris
